Date & Time,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2025-01-01 11:00,1.7079999999999949 -10.316666666666663 -0.1,1.8079999999999945 -9.316666666666663 0.0,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1,1.7580002999999946 -9.316666666666663 -0.1
2025-01-01 12:00,2.0480000000000036 -11.253333333333345 -0.4,1.7480000000000038 -8.253333333333345 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0,1.698000000000004 -7.2533333333333445 0.0
2025-01-01 13:00,2.134666666666667 -10.420000000000016 -0.5,2.0346666666666664 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0,1.884666666666667 -8.420000000000016 0.0
2025-01-01 14:00,1.9180003000000028 -6.400000000000006 -0.8,1.868000000000003 -6.400000000000006 -0.90000004,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0,1.7180000000000026 -3.4000000000000057 0.0
2025-01-01 15:00,1.6380000000000008 -4.160000000000011 -0.90000004,1.588000000000001 -4.160000000000011 -1.1,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998,1.7380000000000013 -4.160000000000011 -2.1999998
2025-01-01 16:00,1.6946666666666674 -4.643333333333331 -0.90000004,1.6946666666666674 -4.643333333333331 -1.4000001,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8,1.9946669666666672 -4.643333333333331 -1.8
2025-01-01 17:00,1.3780003000000018 -4.340000000000003 -1.0,1.2780000000000014 -3.3400000000000034 -0.5,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3,1.6780000000000017 -3.3400000000000034 -1.3
2025-01-01 18:00,0.7379999999999987 -0.13000000000000966 -0.26180000000000014,0.6880002999999988 0.8699999999999903 0.13819994999999996,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001,0.887999999999999 -1.1300000000000097 -0.9618000000000001
2025-01-01 19:00,0.0013336333333322514 9.236666666666636 -0.26180000000000014,-0.34866666666666823 8.236666666666636 0.4381999999999999,0.4513333333333325 10.236666666666636 -0.061800040000000056,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999,-0.4486666666666679 7.236666666666636 0.0381999999999999
2025-01-01 20:00,-0.06533333333333413 12.430000000000007 0.33819999999999995,-0.9653330333333336 11.430000000000007 -0.16180000000000005,-0.015333333333333421 11.430000000000007 -0.3618,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996,-0.4153333333333338 9.430000000000007 0.13819994999999996
2025-01-01 21:00,0.20133363333333332 9.213333333333338 -0.62060004,-0.7486666666666668 9.213333333333338 -0.3206,-0.7986663666666667 14.213333333333338 0.17939999999999998,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001,-0.14866666666666717 12.213333333333338 -0.8206000000000001
2025-01-01 22:00,0.3513333333333355 9.796666666666638 -0.3618,-0.29866666666666486 11.796666666666638 0.13819994999999996,-0.8486666666666647 15.796666666666638 0.8382,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014,0.15133333333333532 11.796666666666638 -0.26180000000000014
2025-01-01 23:00,0.621333333333336 9.206666666666663 -1.0,-0.27866636666666356 12.206666666666663 -0.1,-0.878666666666664 18.206666666666663 0.0,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4,0.07133333333333614 11.206666666666663 -0.4
2025-01-02 00:00,-0.12533333333333285 9.94000000000004 -0.3,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0,-0.22533303333333254 11.94000000000004 0.0
2025-01-02 01:00,0.1579999999999977 6.010000000000005 -0.1,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0,0.1579999999999977 15.010000000000005 0.0
2025-01-02 02:00,0.2513333333333314 7.916666666666686 -0.24120010000000003,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001,0.7013333333333316 5.916666666666686 -0.7412001000000001
2025-01-02 03:00,-1.3986667666666661 11.826666666666682 -0.5,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1,-1.0486666666666662 8.826666666666682 -0.1
2025-01-02 04:00,-0.955333333333332 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0,-0.9053331333333321 9.540000000000006 0.0
2025-01-02 05:00,-0.1686666666666663 6.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0,-0.11866666666666648 9.979999999999961 0.0
2025-01-02 06:00,0.06799999999999895 6.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0,0.21799999999999908 9.086666666666673 0.0
2025-01-02 07:00,0.29133333333333344 6.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0,0.5413333333333334 8.153333333333336 0.0
2025-01-02 08:00,0.21133323333333287 5.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0,-0.138666766666667 6.6299999999999955 0.0
2025-01-02 09:00,-0.12866666666666648 8.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0,-0.32866666666666644 7.299999999999997 0.0
2025-01-02 10:00,-0.6720000000000006 9.579999999999984 0.0,-0.5720000000000005 7.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0,-0.5220000000000007 8.579999999999984 0.0
2025-01-02 11:00,-1.0586666666666664 12.073333333333323 0.0,-0.6086666666666662 9.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0,-0.6586666666666665 8.073333333333323 0.0
2025-01-02 12:00,-0.785333333333333 9.909999999999997 0.0,-0.33533303333333286 6.909999999999997 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0,0.0646666666666671 2.9099999999999966 0.0
2025-01-02 13:00,-1.1486666666666663 9.976666666666688 0.0,-0.748666366666666 5.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0,-0.3986666666666663 2.976666666666688 0.0
2025-01-02 14:00,-0.06533333333333236 2.4633333333333383 -0.1,-0.01533303333333258 3.4633333333333383 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0,0.23466666666666747 -0.5366666666666617 0.0
2025-01-02 15:00,0.07800000000000074 1.3633333333333582 0.0,0.32800000000000074 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0,0.4280002000000005 2.363333333333358 0.0
2025-01-02 16:00,0.34466666666666645 -1.2866666666666617 0.5588,0.6446666666666663 3.7133333333333383 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588,0.8446666666666665 -3.2866666666666617 0.5588
2025-01-02 17:00,-0.34199980000000063 2.2933333333333366 0.0,0.25799999999999956 6.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0,-0.09199980000000063 4.2933333333333366 0.0
2025-01-02 18:00,-0.08200000000000007 1.069999999999979 -0.1,0.16799999999999993 2.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0,-0.08200000000000007 1.069999999999979 0.0
2025-01-02 19:00,0.1913333333333329 1.1733333333333178 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.15866666666666718 0.1733333333333178 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0,-0.05866666666666709 3.173333333333318 0.0
2025-01-02 20:00,0.24799999999999978 0.6166666666666742 0.2794,0.3979999999999997 0.6166666666666742 0.2794,0.0979998999999998 0.6166666666666742 0.2794,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998,0.0979998999999998 1.6166666666666742 0.17939999999999998
2025-01-02 21:00,0.47466656666666585 1.7933333333333223 -0.3,0.7246666666666659 2.7933333333333223 0.0,0.324666666666666 3.7933333333333223 0.0,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1,0.5246667266666659 1.7933333333333223 -0.1
2025-01-02 22:00,0.4513333333333337 1.996666666666684 0.2794,0.3513333933333337 1.996666666666684 0.17939999999999998,0.40133333333333365 1.996666666666684 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794,0.6513333333333337 0.9966666666666839 0.2794
2025-01-02 23:00,0.6579999999999998 0.7866666666666617 0.2794,0.6079999999999999 0.7866666666666617 0.17939999999999998,0.7079999999999999 0.7866666666666617 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794,0.8079999999999998 -0.21333333333333826 0.2794
2025-01-03 00:00,0.2679999999999997 0.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0,0.1679999999999997 1.1599999999999966 0.0
2025-01-03 01:00,0.4480000000000002 -0.8799999999999812 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0,0.2480000000000001 1.1200000000000188 0.0
2025-01-03 02:00,0.21799999999999992 1.5066666666666748 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0,0.16799999999999993 2.506666666666675 0.0
2025-01-03 03:00,0.48133335333333305 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0,0.531333333333333 0.46666666666664014 0.0
2025-01-03 04:00,0.5779999999999998 1.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0,0.7779999999999998 2.276666666666685 0.0
2025-01-03 05:00,0.40466666666666656 1.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794,0.3046666666666666 3.2866666666666617 0.2794
2025-01-03 06:00,-0.0553333133333333 2.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0,-0.15533333333333327 4.38333333333334 0.0
2025-01-03 07:00,-0.02866664666666663 1.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0,-0.17866666666666664 3.0366666666666333 0.0
2025-01-03 08:00,0.014666666666666606 0.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0,-0.08533333333333343 2.8566666666666976 0.0
2025-01-03 09:00,0.07133333333333358 3.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0,0.2213333333333336 2.480000000000004 0.0
2025-01-03 10:00,0.6879999000000001 0.06333333333333258 0.2794,0.5879999000000002 2.0633333333333326 0.2794,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998,1.1880000000000002 -4.936666666666667 0.17939999999999998
