Datetime,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-28 19:00,-1.2279999 100.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0,-0.128 99.0 0.0
2024-12-28 20:00,-1.028 100.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0,-0.328 99.0 0.0
2024-12-28 21:00,-1.078 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0
2024-12-28 22:00,-1.078 100.0 0.0,0.27199998 98.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0,1.2720001 99.0 0.0
2024-12-28 23:00,-1.2279999 100.0 0.0,0.472 99.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0,1.972 98.0 0.0
2024-12-29 00:00,-1.028 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0,0.672 98.0 0.0
2024-12-29 01:00,-0.92800003 97.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0,0.772 94.0 0.0
2024-12-29 02:00,-0.778 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0,-0.428 96.0 0.0
2024-12-29 03:00,-0.978 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0,-0.67800003 98.0 0.0
2024-12-29 04:00,-1.078 100.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0,-0.578 98.0 0.0
2024-12-29 05:00,-1.1279999 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0,-0.92800003 100.0 0.0
2024-12-29 06:00,-0.828 97.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0,-0.47800002 99.0 0.0
2024-12-29 07:00,-0.178 97.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0,0.17199999 98.0 0.0
2024-12-29 08:00,0.472 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0,0.522 98.0 0.0
