Datetime,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-31 04:00,4.422 93.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0,5.6219997 91.0 0.0
2024-12-31 05:00,4.422 93.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0,5.272 92.0 0.0
2024-12-31 06:00,3.672 92.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0,5.022 91.0 0.0
2024-12-31 07:00,3.5219998 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0,4.772 91.0 0.0
2024-12-31 08:00,3.472 91.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0,4.022 92.0 0.0
2024-12-31 09:00,3.2719998 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0,4.022 90.0 0.0
2024-12-31 10:00,3.122 89.0 0.0,4.072 88.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0,4.3719997 86.0 0.0
2024-12-31 11:00,3.0219998 88.0 0.0,4.272 86.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0,4.472 85.0 0.0
2024-12-31 12:00,2.472 86.0 0.0,4.322 84.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0,4.6219997 83.0 0.0
2024-12-31 13:00,2.422 85.0 0.0,4.1219997 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0,4.522 83.0 0.0
2024-12-31 14:00,2.372 85.0 0.0,2.872 84.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0,3.822 83.0 0.0
2024-12-31 15:00,2.172 87.0 0.0,2.122 83.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0,3.322 84.0 0.0
2024-12-31 16:00,2.322 87.0 0.0,1.822 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0,2.7719998 85.0 0.0
2024-12-31 17:00,2.472 88.0 0.0,2.0219998 87.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0,2.5219998 85.0 0.0
2024-12-31 18:00,2.972 88.0 0.0,2.172 88.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0,3.072 87.0 0.0
2024-12-31 19:00,3.122 89.0 0.0,2.2719998 88.0 0.0,3.472 87.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0,2.872 86.0 0.0
2024-12-31 20:00,3.322 89.0 0.0,2.572 88.0 0.0,4.022 87.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0,3.422 86.0 0.0
2024-12-31 21:00,3.122 89.0 0.0,2.872 89.0 0.0,3.722 88.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0,3.822 87.0 0.0
2024-12-31 22:00,3.622 89.0 0.0,3.372 89.0 0.0,4.422 87.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0,4.072 88.0 0.0
2024-12-31 23:00,3.922 89.0 0.0,4.022 88.0 0.0,4.322 88.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0,4.222 87.0 0.0
2025-01-01 00:00,4.322 90.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0,4.272 89.0 0.0
2025-01-01 01:00,4.922 90.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0,4.6219997 89.0 0.0
2025-01-01 02:00,5.172 90.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0,5.022 89.0 0.0
2025-01-01 03:00,5.472 91.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0,5.222 89.0 0.0
2025-01-01 04:00,5.522 91.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0,5.172 90.0 0.0
2025-01-01 05:00,5.772 91.0 0.70000005,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0,5.522 89.0 0.0
2025-01-01 06:00,5.522 91.0 1.1,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0,5.472 89.0 0.0
2025-01-01 07:00,5.322 91.0 0.5,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0,5.422 89.0 0.0
2025-01-01 08:00,5.422 89.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0,5.3719997 88.0 0.0
2025-01-01 09:00,5.6219997 89.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0,5.6219997 87.0 0.0
2025-01-01 10:00,5.722 88.0 0.0,5.922 86.0 0.0,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2,5.722 88.0 0.2
2025-01-01 11:00,5.922 88.0 0.1,5.822 87.0 0.0,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1,5.8719997 87.0 0.1
2025-01-01 12:00,5.722 88.0 0.4,6.022 85.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0,6.072 84.0 0.0
2025-01-01 13:00,5.922 87.0 0.5,6.022 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0,6.172 85.0 0.0
2025-01-01 14:00,6.1219997 87.0 0.8,6.172 87.0 0.90000004,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0,6.322 84.0 0.0
2025-01-01 15:00,6.272 88.0 0.90000004,6.322 88.0 1.1,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998,6.172 88.0 2.1999998
2025-01-01 16:00,6.422 88.0 0.90000004,6.422 88.0 1.4000001,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8,6.1219997 88.0 1.8
2025-01-01 17:00,6.6219997 89.0 1.0,6.722 88.0 0.5,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3,6.322 88.0 1.3
2025-01-01 18:00,6.822 90.0 1.1,6.8719997 89.0 0.70000005,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8,6.672 91.0 1.8
2025-01-01 19:00,6.1219997 85.0 1.1,6.472 86.0 0.4,5.672 84.0 0.90000004,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8,6.572 87.0 0.8
2025-01-01 20:00,5.472 83.0 0.5,6.3719997 84.0 1.0,5.422 84.0 1.2,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005,5.822 86.0 0.70000005
2025-01-01 21:00,4.8719997 87.0 0.90000004,5.822 87.0 0.6,5.8719997 82.0 0.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1,5.222 84.0 1.1
2025-01-01 22:00,4.572 87.0 1.2,5.222 85.0 0.70000005,5.772 81.0 0.0,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1,4.772 85.0 1.1
2025-01-01 23:00,4.222 87.0 1.0,5.1219997 84.0 0.1,5.722 78.0 0.0,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4,4.772 85.0 0.4
2025-01-02 00:00,5.022 85.0 0.3,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0,5.1219997 83.0 0.0
2025-01-02 01:00,4.922 87.0 0.1,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0,4.922 78.0 0.0
2025-01-02 02:00,4.472 84.0 0.8000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001,4.022 86.0 1.3000001
2025-01-02 03:00,3.9720001 84.0 0.5,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1,3.622 87.0 0.1
2025-01-02 04:00,3.072 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0,3.0219998 87.0 0.0
2025-01-02 05:00,2.372 89.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0,2.322 86.0 0.0
2025-01-02 06:00,1.822 91.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0,1.672 88.0 0.0
2025-01-02 07:00,1.472 91.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0,1.222 89.0 0.0
2025-01-02 08:00,1.2720001 91.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0,1.6220001 90.0 0.0
2025-01-02 09:00,1.722 88.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0,1.922 89.0 0.0
2025-01-02 10:00,2.822 84.0 0.0,2.722 86.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0,2.672 85.0 0.0
2025-01-02 11:00,3.822 80.0 0.0,3.372 83.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0,3.422 84.0 0.0
2025-01-02 12:00,4.572 78.0 0.0,4.1219997 81.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0,3.722 85.0 0.0
2025-01-02 13:00,4.772 77.0 0.0,4.3719997 81.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0,4.022 84.0 0.0
2025-01-02 14:00,4.172 82.0 0.1,4.1219997 81.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0,3.872 85.0 0.0
2025-01-02 15:00,3.622 83.0 0.0,3.372 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0,3.2719998 82.0 0.0
2025-01-02 16:00,2.872 88.0 0.0,2.572 83.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0,2.372 90.0 0.0
2025-01-02 17:00,2.2719998 92.0 0.0,1.672 88.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0,2.0219998 90.0 0.0
2025-01-02 18:00,1.822 93.0 0.1,1.572 92.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0,1.822 93.0 0.0
2025-01-02 19:00,1.222 93.0 0.0,1.472 91.0 0.0,1.572 94.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0,1.472 91.0 0.0
2025-01-02 20:00,1.222 94.0 0.0,1.072 94.0 0.0,1.3720001 94.0 0.0,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1,1.3720001 93.0 0.1
2025-01-02 21:00,1.0220001 94.0 0.3,0.772 93.0 0.0,1.172 92.0 0.0,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1,0.97199994 94.0 0.1
2025-01-02 22:00,0.872 94.0 0.0,0.97199994 94.0 0.1,0.922 94.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0
2025-01-02 23:00,0.672 95.0 0.0,0.722 95.0 0.1,0.622 95.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0,0.522 96.0 0.0
2025-01-03 00:00,0.522 96.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0,0.622 95.0 0.0
2025-01-03 01:00,0.472 96.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0,0.672 94.0 0.0
2025-01-03 02:00,0.422 96.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0,0.472 95.0 0.0
2025-01-03 03:00,0.37199998 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0
2025-01-03 04:00,0.422 95.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0,0.222 94.0 0.0
2025-01-03 05:00,0.322 95.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0,0.422 93.0 0.0
2025-01-03 06:00,0.37199998 94.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0,0.472 92.0 0.0
2025-01-03 07:00,0.37199998 94.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0,0.522 92.0 0.0
2025-01-03 08:00,0.422 93.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0,0.522 91.0 0.0
2025-01-03 09:00,0.922 88.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0,0.772 89.0 0.0
2025-01-03 10:00,1.0220001 89.0 0.0,1.1220001 87.0 0.0,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1,0.522 94.0 0.1
2025-01-03 11:00,0.672 95.0 0.1,0.422 97.0 0.90000004,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0,0.722 94.0 0.0
2025-01-03 12:00,0.772 94.0 0.3,0.622 96.0 0.3,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0,1.572 89.0 0.0
2025-01-03 13:00,1.3720001 90.0 0.0,0.872 95.0 0.1,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0,1.972 88.0 0.0
2025-01-03 14:00,1.5220001 88.0 0.0,1.222 94.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0,1.7720001 89.0 0.0
2025-01-03 15:00,1.0220001 91.0 0.0,0.82199997 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0,0.672 95.0 0.0
2025-01-03 16:00,0.922 84.0 0.0,0.422 94.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0,0.472 96.0 0.0
2025-01-03 17:00,0.722 84.0 0.0,0.672 94.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0,0.322 96.0 0.0
